"lang"
{
"Language"	"turkish"
"Tokens"
{
"SFUI_On"	"Açık"
"[english]SFUI_On"	"On"
"SFUI_Off"	"Kapalı"
"[english]SFUI_Off"	"Off"
"SFUI_FriendlyFireColon"	"Dost Ateşi:"
"[english]SFUI_FriendlyFireColon"	"Friendly Fire:"
"SFUI_ScenarioColon"	"Plan:"
"[english]SFUI_ScenarioColon"	"Scenario:"
"SFUI_CashColon"	"Başlangıç Parası:"
"[english]SFUI_CashColon"	"Starting Cash:"
"SFUI_GameTimeColon"	"Oyun Süresi:"
"[english]SFUI_GameTimeColon"	"Game Time:"
"SFUI_TimePerRoundColon"	"Raunt Başına Süre:"
"[english]SFUI_TimePerRoundColon"	"Time Per Round:"
"SFUI_BuyTimeColon"	"Alışveriş Süresi:"
"[english]SFUI_BuyTimeColon"	"Buy Time:"
"SFUI_WinMatchColon"	"Maç Süresi:"
"[english]SFUI_WinMatchColon"	"Match Length:"
"SFUI_SpectateColon"	"İzle:"
"[english]SFUI_SpectateColon"	"Spectate:"
"SFUI_BotsColon"	"Botlar:"
"[english]SFUI_BotsColon"	"Bots:"
"SFUI_AutoBuyColon"	"Temel Ekipmanları Otomatik Al:"
"[english]SFUI_AutoBuyColon"	"Auto-Buy Basic Equipment:"
"SFUI_Minutes"	"dakika"
"[english]SFUI_Minutes"	"minutes"
"SFUI_Seconds"	"saniye"
"[english]SFUI_Seconds"	"seconds"
"SFUI_Rounds"	"raunt"
"[english]SFUI_Rounds"	"rounds"
"SFUI_Legend_Cancel"	"${cancel} İptal"
"[english]SFUI_Legend_Cancel"	"${cancel} Cancel"
"SFUI_Legend_Ok"	"${confirm} Tamam"
"[english]SFUI_Legend_Ok"	"${confirm} OK"
"SFUI_Legend_OkCancel"	"${cancel} İptal ${confirm} Tamam"
"[english]SFUI_Legend_OkCancel"	"${cancel} Cancel     ${confirm} OK"
"SFUI_Play"	"OYNA"
"[english]SFUI_Play"	"PLAY"
"SFUI_Back"	"GERİ"
"[english]SFUI_Back"	"BACK"
"SFUI_GameTypeFreestyle"	"ALIŞTIRMA"
"[english]SFUI_GameTypeFreestyle"	"PRACTICE"
"SFUI_GameMode"	"Mod"
"[english]SFUI_GameMode"	"Mode"
"SFUI_GameModeCasual"	"Basit Eğlence"
"[english]SFUI_GameModeCasual"	"Casual"
"SFUI_GameModeCompetitive"	"Rekabetçi"
"[english]SFUI_GameModeCompetitive"	"Competitive"
"SFUI_GameModeGGProgressive"	"Silah Yarışı"
"[english]SFUI_GameModeGGProgressive"	"Arms Race"
"SFUI_GameModeGGBomb"	"Yıkım"
"[english]SFUI_GameModeGGBomb"	"Demolition"
"SFUI_HalftimePrompt"	"DEVRE ARASI"
"[english]SFUI_HalftimePrompt"	"HALFTIME"
"SFUI_GameModeCasualDesc"	"Basit Eğlence kurallarını kullanan maçlara istediğin zaman girip çık.\nKazandığın parayla her raunt başında yeni silahlar satın al ve karşı takımı ortadan kaldırarak ya da görevi tamamlayarak raundu kazan."
"[english]SFUI_GameModeCasualDesc"	"Freely drop in and drop out of games using the Casual ruleset.\nBuy new weapons each round with money earned and win the round by eliminating the other team or completing the objective."
"SFUI_GameModeCompetitiveDesc"	"Yetenek Grubunu etkileyecek tam bir maça katıl.\nKazandığın parayla her raunt başında yeni silahlar satın al ve karşı takımı ortadan kaldırarak ya da görevi tamamlayarak raundu kazan."
"[english]SFUI_GameModeCompetitiveDesc"	"Commit to a full match that affects your Skill Group.\nBuy new weapons each round with money earned and win the round by eliminating the other team or completing the objective."
"SFUI_GameModeFreestyleDesc"	"· Tek oyunculu klasik haritalar\n· Değiştirilebilir bot zorluğu"
"[english]SFUI_GameModeFreestyleDesc"	"· Single player classic maps\n· Customizable bot difficulty"
"SFUI_GameModeGGProgressiveDesc"	"Düşmanları öldürerek silahını geliştir.\nAltın Bıçak ile ilk leş alan oyuncu olarak maçı kazan."
"[english]SFUI_GameModeGGProgressiveDesc"	"Upgrade your weapon by eliminating enemies.\nWin the match by being the first player to get a kill with the Golden Knife."
"SFUI_GameModeGGBombDesc"	"Düşmanları öldürerek silahını geliştir.\nKarşı takımı ortadan kaldırarak ya da görevi tamamlayarak raundu kazan."
"[english]SFUI_GameModeGGBombDesc"	"Upgrade your weapon by getting kills.\nWin the round by eliminating the other team or completing the objective."
"SFUI_GameModeProgressDisclaimer"	"İstatistik kaydı yapılmaz."	[$WIN32||$X360]
"[english]SFUI_GameModeProgressDisclaimer"	"No stats tracking."
"SFUI_GameModeProgressDisclaimer"	"İstatistik kaydı yapılmaz."	[$PS3]
"[english]SFUI_GameModeProgressDisclaimer"	"No stats tracking."
"SFUI_TrialTimeRemaining"	"Deneme modu (Kalan süre: %s1:%s2)"
"[english]SFUI_TrialTimeRemaining"	"Trial mode (%s1:%s2 remaining)"
"SFUI_TrialTimeExpired"	"Deneme modu sona erdi"
"[english]SFUI_TrialTimeExpired"	"Trial mode expired"
"SFUI_TrialWelcomeTitle"	"Deneme Modu"
"[english]SFUI_TrialWelcomeTitle"	"Trial Mode"
"SFUI_TrialWelcomeMessage"	"Counter Strike oyun denemesine hoş geldiniz. Deneme süresince oyunun tüm özellikleri açıktır."
"[english]SFUI_TrialWelcomeMessage"	"Welcome to the Counter Strike game trial. All game features are unlocked for the duration of the trial period"
"SFUI_TrialWelcomeMessageExpired"	"Counter Strike deneme süresi sona erdi"
"[english]SFUI_TrialWelcomeMessageExpired"	"The Counter Strike game trial period has expired"
"SFUI_TrialHudTextMinutes"	"Deneme Süresi Etkin (%s1 dakika kaldı)"
"[english]SFUI_TrialHudTextMinutes"	"Trial Active (%s1 minutes left)"
"SFUI_TrialHudTextMinute"	"Deneme Süresi Etkin (1 dakika kaldı)"
"[english]SFUI_TrialHudTextMinute"	"Trial Active (1 minute left)"
"SFUI_TrialSignOutTitle"	"Deneme Süresi Çevrimiçi Profil"
"[english]SFUI_TrialSignOutTitle"	"Trial Signed In Profile"
"SFUI_TrialSignOutMsg"	"Deneme modu için çevirimiçi bir profil gereklidir"
"[english]SFUI_TrialSignOutMsg"	"A signed in profile is required for trial mode"
"SFUI_TrialMUPullTitle"	"Deneme Süresi Profil Alanı"
"[english]SFUI_TrialMUPullTitle"	"Trial Profile Storage"
"SFUI_TrialMUPullMsg"	"Deneme modu için yazılabilir çevrimiçi profil gereklidir"
"[english]SFUI_TrialMUPullMsg"	"Trial mode requires a writable signed in profile"
"SFUI_BotDifficulty"	"Bot Zorluk Derecesi"
"[english]SFUI_BotDifficulty"	"Bot Difficulty"
"SFUI_BotDifficulty0"	"Bot Yok"
"[english]SFUI_BotDifficulty0"	"No Bots"
"SFUI_BotDifficulty1"	"Zararsız Botlar"
"[english]SFUI_BotDifficulty1"	"Harmless Bots"
"SFUI_BotDifficulty2"	"Kolay Botlar"
"[english]SFUI_BotDifficulty2"	"Easy Bots"
"SFUI_BotDifficulty3"	"Orta Zorlukta Botlar"
"[english]SFUI_BotDifficulty3"	"Medium Bots"
"SFUI_BotDifficulty4"	"Zor Botlar"
"[english]SFUI_BotDifficulty4"	"Hard Bots"
"SFUI_BotDifficulty5"	"Uzman Botlar"
"[english]SFUI_BotDifficulty5"	"Expert Bots"
"SFUI_SpectateAnyone"	"Herkes"
"[english]SFUI_SpectateAnyone"	"Anyone"
"SFUI_SpectateTeamOnly"	"Sadece takım"
"[english]SFUI_SpectateTeamOnly"	"Team only"
"SFUI_HostageMap"	"Rehine"
"[english]SFUI_HostageMap"	"Hostage"
"SFUI_BombMap"	"Bomba İmha"
"[english]SFUI_BombMap"	"Defuse"
"SFUI_GunGameProgressiveMap"	"Silah Yarışı"
"[english]SFUI_GunGameProgressiveMap"	"Arms Race"
"SFUI_GunGameTRMap"	"Yıkım"
"[english]SFUI_GunGameTRMap"	"Demolition"
"SFUI_Map_de_dust"	"Dust"
"[english]SFUI_Map_de_dust"	"Dust"
"SFUI_Map_de_dust2"	"Dust II"
"[english]SFUI_Map_de_dust2"	"Dust II"
"SFUI_Map_de_train"	"Train"
"[english]SFUI_Map_de_train"	"Train"
"SFUI_Map_de_inferno"	"Inferno"
"[english]SFUI_Map_de_inferno"	"Inferno"
"SFUI_Map_de_nuke"	"Nuke"
"[english]SFUI_Map_de_nuke"	"Nuke"
"SFUI_Map_de_shorttrain"	"Shorttrain"
"[english]SFUI_Map_de_shorttrain"	"Shorttrain"
"SFUI_Map_random"	"Rastgele"
"[english]SFUI_Map_random"	"Random"
"SFUI_Map_ar_baggage"	"Baggage"
"[english]SFUI_Map_ar_baggage"	"Baggage"
"SFUI_Map_ar_shoots"	"Shoots"
"[english]SFUI_Map_ar_shoots"	"Shoots"
"SFUI_Map_de_bank"	"Bank"
