"lang"
{
"Language" "ukrainian"
"Tokens"
{
// ---------------------------------------------------------------------------------------------
// GAMEUI_ENGLISH.txt

		"GameUI_MainMenuMovieScene"	"Тло головного меню"
		"GameUI_MainMenuMovieScene_Vanity"	"Змінити тло"
		"GameUI_MainMenuMovieScene_Tooltip"	"Це налаштування дозволяє вам змінити тло головного меню, яке задає візуальне сприйняття всієї гри."
		"GameUI_DisplayMode"		"Режим кольорів"
		"GameUI_DisplayMonitor"		"Монітор комп’ютера"
		"GameUI_DisplayTV"		"Телевізор"
		"GameUI_Brightness"		"Яскравість"
		"GameUI_FriendlyWarning"			"Попередження про враження своїх на прицілі"
		"GameUI_CrosshairStyleDefault"			"Стандартний"
		"GameUI_CrosshairStyleDefaultStatic"	"Стандартний статичний"
		"GameUI_CrosshairStyleClassic"			"Класичний"
		"GameUI_CrosshairStyleClassicDyn"		"Класичний динамічний"
		"GameUI_CrosshairStyleClassicStatic"	"Класичний статичний"

		"GameUI_CrosshairStyle_Friendly"		"Попередження про враження своїх"
		"GameUI_CrosshairFriendlyWarning_Off"	"Завжди вимкнено"
		"GameUI_CrosshairFriendlyWarning_On"	"Завжди ввімкнено"



		"GameUI_CrosshairIFFOn"	"Увімкнено"
		"GameUI_CrosshairIFFOff"	"Вимкнено"

		"GameUI_CrosshairLength"	"Довжина"
		"GameUI_CrosshairThickness"	"Товщина"
		"GameUI_CrosshairAlpha"		"Альфа"
		"GameUI_ColorSliders"		"Кольори"
		"GameUI_ColorGreen"			"Зелений"
		"GameUI_ColorRed"			"Червоний"
		"GameUI_ColorBlue"			"Синій"
		"GameUI_ColorYellow"		"Жовтий"
		"GameUI_TStyle" 			"Т-подібне"
		"GameUI_Always" 	"Завжди"
		"GameUI_ObservedBotCrosshair_Takeover" 	"Коли я можу взяти на себе керування ботом"
		"GameUI_ObservedBotCrosshair_Default" 	"Ніколи"



		"GameUI_Xhair_Code_Popup"			"Поділитися або імпортувати"
		"GameUI_Xhair_Import_Code"			"Імпортувати"

		"GameUI_Language_English"				"англійська"
		"GameUI_Language_German"				"німецька"
		"GameUI_Language_French"				"французька"
		"GameUI_Language_Italian"				"італійська"
		"GameUI_Language_Korean"				"корейська"
		"GameUI_Language_Spanish"				"іспанська"
		"GameUI_Language_Simplified_Chinese"	"китайська (спрощена)"
		"GameUI_Language_Traditional_Chinese"	"китайська (традиційна)"
		"GameUI_Language_Russian"				"російська"
		"GameUI_Language_Thai"					"тайська"
		"GameUI_Language_Japanese"				"японська"
		"GameUI_Language_Portuguese"			"португальська"
		"GameUI_Language_Polish"				"польська"
		"GameUI_Language_Danish"				"данська"
		"GameUI_Language_Dutch"					"нідерландська"
