"lang" { 
"Language" "french" 
"Tokens" 
{ 
"GameUI_ReverseMouse" 		"Souris inversée"
"[english]GameUI_ReverseMouse" 		"Reverse mouse"
"GameUI_ReverseMouseLabel"	"Inverser l'axe vertical de la souris"
"[english]GameUI_ReverseMouseLabel"	"Reverse mouse up-down axis"
"GameUI_MouseLook" 		"Vue souris"
"[english]GameUI_MouseLook" 		"Mouse look"
"GameUI_MouseLookLabel"		"Utilisez la souris pour regarder autour de vous"
"[english]GameUI_MouseLookLabel"		"Use the mouse to look around"
"GameUI_MouseFilter" 		"Filtre souris"
"[english]GameUI_MouseFilter" 		"Mouse filter"
"GameUI_MouseFilterLabel"	"Lisser les mouvements de la souris"
"[english]GameUI_MouseFilterLabel"	"Smooth out mouse movement"
"GameUI_MouseSensitivity"	"Sensibilité de la souris"
"[english]GameUI_MouseSensitivity"	"Mouse sensitivity"
"GameUI_Joystick" 		"Manette"
"[english]GameUI_Joystick" 		"Gamepad"
"GameUI_JoystickLabel"		"Activer la manette"
"[english]GameUI_JoystickLabel"		"Enable the gamepad"
"GameUI_ReverseJoystick"	"Inverser l'axe vertical de la manette"
"[english]GameUI_ReverseJoystick"	"Reverse gamepad up-down axis"
"GameUI_JoystickLook"		"Vue joystick"
"[english]GameUI_JoystickLook"		"Joystick look"
"GameUI_JoystickLookLabel"	"Utilisez la manette pour regarder autour de vous"
"[english]GameUI_JoystickLookLabel"	"Use the gamepad to look around"
"GameUI_JoystickLookType"	"Type de vue"
"[english]GameUI_JoystickLookType"	"Look type"
"GameUI_JoystickNormal"		"Normal"
"[english]GameUI_JoystickNormal"		"Normal"
"GameUI_JoystickInverted"	"Inversé"
"[english]GameUI_JoystickInverted"	"Inverted"
"GameUI_JoystickMoveLookSticks"	"Sticks analogiques déplacement/vue"   	[$WIN32]
"[english]GameUI_JoystickMoveLookSticks"	"Move/Look sticks"
"GameUI_JoystickMoveLookSticks"	"Sticks analogiques"	[$X360]
"[english]GameUI_JoystickMoveLookSticks"	"Thumbsticks"
"GameUI_JoystickSouthpaw"	"Intervertir les sticks analogiques sur les manettes à 2 sticks"  [$WIN32]
"[english]GameUI_JoystickSouthpaw"	"Swap sticks on dual-stick controllers"
"GameUI_JoystickSouthpaw"	"Gaucher"	[$X360]
"[english]GameUI_JoystickSouthpaw"	"Southpaw"
"GameUI_JoystickLookSpeedPitch"	"Sensibilité verticale"
"[english]GameUI_JoystickLookSpeedPitch"	"Vertical sensitivity"
"GameUI_JoystickLookSpeedYaw"	"Sensibilité horizontale"
"[english]GameUI_JoystickLookSpeedYaw"	"Horizontal sensitivity"
